Question,Choice1,Choice2,Choice3,Answer
잘 되고 있는 상황을 어그러뜨릴 때 '초를 친다'고 한다. 여기서 초는?,식초,양초,잡초,1
중국의 멸종위기종으로 '실사판 피카츄'라 불리는 동물의 이름은?,담비,일리 피카,토끼박쥐,2
노래 <Viva la Vida>로 유명한 영국 록밴드는?,콜드브루,콜드게임,콜드플레이,3
도로가 함몰돼 구멍이 파인 곳을 뜻하는 용어가 아닌 것은?,블랙홀,포트홀,싱크홀,1
"축구경기에서 전, 후반 이후 '추가시간'을 뜻하는 말이 아닌것은?", 쿨링 타임,로스 타임,인저리 타임,1
E-mail 주소를 표기할 때 사용하는 '@'를 부르는 올바른 명칭은?,골뱅이,에이원,앳 마크,3
에베레스트산에 이어 세계에서 두 번째로 높은 산은?,로체,K2,안나푸르나,2
"""네가 OOO 않았으면 좋겠어""에서 빈칸에 들어갈 말은?",개념치,궤념치,괘념치,3
다음 중 한 해에 5대 국내 가요 시상식 대상을 모두 석권한 가수/그룹은?,H.O.T,김건모,조성모,2
북한이 표준말로 삼고 있는 언어를 무엇이라 부를까?,문화어,평양어,인민어,1
"링컨의 명언, '투표는 OO보다 강하다' 빈칸에 알맞은 말은?",총알,칼날,화폐,1
"<고슴도치, 버즈, 눈에 거슬리는 사람, 장미> 가장 연상되는 것은?",가시,인형,심수봉,1
6월의 발음으로 옳은 것은?,유월,유월,유궐,2
윌리엄 왕세손 딸이자 영국의 공주 이름은?,샬롯,벨,스노우화이트,1
"""(  ) 날 불평 불만이냐!?"" 맞춤법이 올바른 표현은?",허구헌,허구한,허구연,2
원운동을 하는 물체에서 '원의 중심 방향'으로 작용하는 힘은??,구심력,원심력,수직항력,1
"선거의 4대 원칙<평등 선거, 직접 선거, 비밀 선거, OO 선거>",보통,공정,객관,1
대형 우량주를 뜻하는 말로 '예능계의 OOO'으로 잘 쓰이는 말은?,옐로칩,블랙칩,블루칩,3
전혀 근거가 없는 경우 '터무니 없다' 라고 한다. 다음 중 '터무니'의 뜻은?,발등에 난 털,터를 잡는 자취,튀어나온 앞니,2
맨손으로 '드라이아이스'를 만지면 일어나는 피부의 손상은?,화상,절상,동상,3
"천자문! <하늘 천, 땅 지, 검을 현, 누를 황, 집 우, 집 주> 다음은?",거칠 황,큰물 홍,날 일,2
다음 중 한국에 있는 지역명이 아닌 것은?,김제동,오취리,대가리,1
우리나라의 전통 음식이 아닌것은?,삼계탕,마라탕,감자탕,2
조리 시설을 갖춘 차량으로 이동하며 음식을 판매하는 것은?,오일장,포장마차,푸드트럭,3
요리-주재료가 맞는 것은?,올챙이국수-올챙이,가자미식해-가자미,고갈비-갈비,2
"""이런 더위에는 입맛을 OOO 음식이 필요해!""의 빈칸에 들어갈 말은?",돋구는,돋우는,도지는,2
이슬람 율법에 어긋나지 않는 음식을 무엇이라 할까?,하람 푸드,할랄 푸드,라마단,2
소뼈와 고기를 넣고 끓인 국으로 '설렁탕'의 원래 명칭은?,선농탕,설렁탕,썰렁탕,1
북한에서 '라면'을 부르는 말은?,꼬부랑 국수,꼬불꼬불 국수,구부렁 국수,1
다음 중 호불호가 갈리는 채소 '고수'의 원산지는?,동남아,라틴 아메리카,자중해 연안,3
우리나라 야구 레전드 투수로 '나고야의 태양'으로 불렸던 선수는?,이종범,선동열,이상훈,2
운동 후 땀으로 빠져나간 전해질을 보충하기 위해 마시는 것은?,이온음료,소주,양잿물,1
미술계의 올림픽'으로 불리며 2년마다 개최되는 국제미술전은?,비엔날레,아트 페어,아톨림픽,1
음식물을 되새김질하는 동물이 아닌 것은?,소,기린,돼지,3
다음 중 '켜다'의 의미가 다른 것은?,라디오를 켜다,라이터를 켜다,기지개를 켜다,3
포르투갈어로 '빵'은?,브레드,카스텔라,팡,3
다음 중 각국의 '사랑해'를 뜻하는 외국어가 잘못 짝지어진 것은?,독일-이히리베디히,네덜란드-익허우반여우,이탈리아-떼기에로,3
에버랜드에 살고 있는 '국내 유일의 북극곰'의 이름은?,슛돌이,통키,강백호,2
꿀벌은 꽃을 발견하면 동료들에게 어떻게 알릴까?,노래를 부른다,춤을 춘다,페로몬을 뿌린다,2
"<푸른 나무, 양희은의 노래, 심훈의 소설>을 연상시키는 것은??",상록수,가로수,벚꽃나무,1
"제주시 우도면에 위치해 있으며, 모래가 전부 검은색인 해변의 명칭은?",검멀레해변,거무스레해변,그을린해변,1
다음 중 '별의 고을'이라 불리는 지역으로 참외가 유명한 곳은?,정선,성주,횡성,2
다음 중 전라남도 여수시에 있는 해역의 이름으로 옳은 것은?,남자만,여자만,애인만,2
국내 최초 고속도로 상공에 건설된 'OO 하늘휴게소'의  OO에 들어갈 지역은?,수원,시흥,성남,2
다음 중 부산에 위치한 <장승 등대>의 별칭이 아닌 것은?,마징가Z 등대,태권Z 등대,메칸더V 등대,3
군부대가 많은 강원도에 없는 지명은?,대장리,대위리,상사리,1
보통 열차보다 속도가 빠르고 정차하는 역이 적은 열차는?,완행열차,급행열차,설국열차,2
본명 이외에 한편에서 따로 부르는 이름을 뜻하는 단어는?,일명,박명,수명,1
한국인 최초로 메이저리그에 진출한 야구선수는?,류현진,추신수,박찬호,3
한국인 최초로 잉글랜드 프리미어리그에 진출한 축구선수는?,설기현,이영표,박지성,3
시청률이나 청취율이 가장 높은 방송시간대를 가리키는 말이 아닌 것은?,피크 타임,프라임 타임,해피 아워,3
드러낙[ 차려입다'라는 뜻의 순우리말은?,떨쳐입다,걷어입다,고이입다,1
동요 <동네 한바퀴>에서 '동네 한바퀴'는 몇 번 나올까?,세 번,네 번,다섯 번,2
다음 중 배가 고프면 자신의 꼬리를 먹는 물고기는?,뱀장어,쉬리,갈치,3
"축구에서 흔히 쓰이는 말로, '경기는 해봐야 안다'는 의미와 같은 것은?",공은 차야 제 맛이다,공은 둥글다,공은 잘못이 없다,2
역대 월드컵에서 가장 많이 우승한 국가는?,브라질,독일,이탈리아,1
투표 시 본인확인을 위해 챙겨야 할 물건이 아닌 것은?,운전면허증,여권,명함,3
우리나라에서는 몇 살부터 투표가 가능할까?,만 17세,만 19세,만 21세,2
지방선거에서 출마할 수 있는 나이 자격은?,만 19세 이상,만 20세 이상,만 25세 이상,3
개표소에서 개표참관인을 할 수 있는 사람은?,후보자,공무원,외국인,1
한자어 '기린아'의 뜻으로 올바른 것은?,남달리 뛰어난 젊은이,남달리 목이 긴 젊은이,목이 길어 슬픈 짐승,1
영화나 드라마에서 유명배우가 깜짝 출연하는 것을 말하는 용어는?,스턴트맨,엑스트라,카메오,3
"고대 그리스의 광장으로 정치, 재판, 상업, 사교 등이 이루어졌던 곳은?",파고다,아고다,아고라,3
런웨이'와 함께 쓰이는 패션쇼장의 무대를 부르는 말은?,워킹 스트리트,캣워크,하이웨이,2
인공지능이 전체 인류 지능의 총합을 넘어서는 지점을 말하는 것은?,특이점,유토피아,알파스팟,1
힙합에서 사용하는 '스왜그(Swag)'는 누가 만든 말일까?,켄드릭 라마,셰익스피어,도끼,2
나치의 선정 장관으로 대중 선동에 악마적 재능이 있었던 인물은?,아돌프 히틀러,파울 괴벨스,헤르만 괴링,2
"지하철 운행 지연으로 지각할 시 회사, 학교 등에 제출할 수 있는 서류는?",간편지연증명서,가족관계증명서,학연지연증명서,1
복싱에서 기권을 할 때 던지는 것은?,화염병,수건,주사위,2
다음 중 중국의 역사서<사기>를 쓴 인물은?,사마천,제갈량,손자,1
"공기 중에 가장 많은 기체로, 과자를 포장할 때 사용하는 것은?",산소,이산화탄소,질소,3
한국교육과정평가원에서 주관하는 '수능 모의고사'가 열리지 않는 달은?,6월,9월,11월,3
경기 중 공의 순간 속도가 가장 빠른 스포츠는?,배드민턴,탁구,테니스,1
얼굴빛이 술기운을 띠거나 혈기가 좋아 불그레하다.'를 뜻하는 우리말은?,불콰하다,버릊다,건담하다,1
새가 비행기에 부딪히거나 엔진 속에 빨려들어가 사고를 일으키는 현상은?,앵그리 버드,얼리 버드,버드 스트라이크,3
한국과 호주의 허리케인이 회전하는 방향은?,같다,다르다,매번 바뀐다,2
다음 중 2월 29일 있었던 해는?,2010년,2016년,2018년,2
형제의 자녀를 일컫는 호칭'조카'의 원래 뜻은?,발 아래,어린 아이,작은 신발,1
나라를 위해 목숨을 바친 열사를 일컫는 말로 흔히 쓰이지 않는 것은?,순국선열,호국영령,태극전사,3
다른 관객의 관람을 방해하는 행위를 부르는 신조어는?,관종,관크,ADHD,2
자신이 느끼는 감정과 무관하게 직무를 행해야 하는 노동은?,막노동,감정노동,억지노동,2
다음 중 국립 현충원이 있지 않은 곳은?,서울특별시,대전광역시,광주광역시,3
종이를 손상시키지 않아 '목탄화의 지우개'로 쓰이는 것은?,식빵,손수건,침,1
조의를 표하기 위해 계양하는 국기를 부르는 말이 아닌 것은?,반기,조기,요기,3
대중적으로 유행하는 정보를 따라 상품을 구매하는 현상은?,백로효과,밴드왜건 효과,파노플리 효과,2
6.25 전쟁 당시 우리나라를 지원해 준 국가가 아닌 나라는?,이집트,쿠바,폴란드,3
42.195km를 달리는 장거리 도로 경주의 올바른 명칭은?,마라도,마실,마라톤,3
공기를 채운 큰 공으로 스트레칭에 사용되는 운동기구는?,짐볼,헬륨풍선,베이스볼,1
감량했던 체중이 원래의 체중 이상으로 돌아가는 현상은?,작심삼일,컴백,요요,3
다음 중 무산소 운동이 아닌 것은?,헥헥 '단거리 달리기',물개 빙의 '수영',으라차차 '역도',2
다음 중 '손'만 사용 가능한 투기 종목은?,복싱,가라테,태권도,1
<요가>의 정의로 올바른 것은?,운동,종교,심신 수련,3
다음 중 시력 유지와 신체 저항력 강화에 좋은 비타민은?,비타민A,비타민D,비타민K,1
복을 싸 먹는다'는 뜻으로 스트레스 해소에 좋은 채소는?,당귀,상추,케일,2
다음 중 '미세먼지'로 인한 부작용 증상이 아닌 것은?,탈모,심뇌혈관 질환,턱관절 질환,3
이건희 회장의 다이어트로 유명해진 <황제 다이어트>의 원래 명칭은?,앳킨스 다이어트,오니시 다이어트,덴마크 다이어트,1
자축인묘진사오미신유술해! 12지신에 속하지 않는 동물은?,소,쥐,섭,3
바지 지퍼가 열렸을 때 '( ) 이/가 열렸다'고 한다. 빈칸에 알맞은 말은?,뚜껑,남대문,열매,2
미국의 이웃국가 캐나다의 별명으로 알맞은 것은?,천조국,감귤국,단풍국,3
요즘 유행하는 동영상 위주의 콘텐츠를 제공하는 블로그를 부르는 말은?,브이로그,갤로그,셀피로그,1
신석기시대와 청동기시대의 사람들이 살았던 반지하 가옥은?,움집,초가집,너와집,1
2002년 한일월드컵 당시 우리나라 카드섹션 문구로 올바른 것은?,꿈은 이루어★진다,꿈은★이루어진다,꿈★은 이루어진다,3
하이브리드카의 순화어로 알맞은 것은?,환경개선혼합차,복합동력차,잡종혼성차,2
윷놀이에서 '도가 나오면 한 ( )을 간다.' 빈칸에 알맞은 윷놀이 용어는?,발,칸,땅,1
"상반신은 사자, 하반신은 물고기의 모습을 한 싱가포르의 대표 상징물은?",머라이언,머라카노,머라이어캐리,1
에스키모인들이 사는 얼음집의 명칭으로 올바른 것은?,아이스 하우스,이글루,이글아이,2
"스위스, 프랑스, 오스트리아에 걸쳐 있는 산맥은?",로키 산맥,알프스 산맥,스칸디나비아 산맥,2
현재 미국의 땅이 된 알래스카는 원래 어느나라의 영토였을까?,캐나다,러시아,스웨덴,2
도버해협을 사이에 두고 영국과 이웃하는 나라는?,아일랜드,벨기에,프랑스,3
다음 중 세계 최대의 커피생산국은?,브라질,콜롬비아,에티오피아,1
인구가 가장 많은 대륙은 '아시아'이다. 그렇다면 그 다음으로 많은 대륙은?,유럽,남아메리카,아프리카,3
환경정화를 위해 일시폐쇄된 지역이 있는 섬이 아닌 것은?,필리핀 보라카이섬,태국 피피섬,베트남 깟바섬,3
다음 중 면적이 가장 작은 나라는?,바티칸 시국,모나코,리히텐슈타인,1
베르사유 궁전 건축 당시에 없었던 시설은?,목욕탕,화장실,연회장,2
다음 중 노를 사용하지 않는 수상 스포츠는?,조정,윈드서핑,카누,2
걸음 수를 측정해서 알려주는 기계인 '만보기'의 또 다른 이름은?,경보기,재보기,계보기,3
"따로 시간을 내지 않고, 생활 속에서 다이어트를 하는 것을 부르는 말은?",니트 다이어트,프리 다이어트,ing 다이어트,1
다음 중 100g 당 칼로리가 가장 높은 음식은?,닭가슴살,식빵,말린 바나나,3
고전 소설 <심청전>에서 심청이 아버지의 본명은?,심봉사,심학규,심형탁,2
볼링에서 두 번째 공으로 모든 핀을 넘어뜨리는 것을 의미하는 용어는?,터키,스페어,스트라이크,2
충격적인 사건으로 인한 '정신적 외상 후 스트레스 장애'를 뜻하는 병명은?,공황장애,베르테르 효과,트라우마,3
동물 '말'의 수면 자세로 맞지 않는 것은?,앉아서 잔다,누워서 잔다,서서 잔다,1
현재 올림픽 메달인 '금메달'의 성분은?,도금,순은,순금,1
다음 중 올바르지 않은 표현은?,염치 불고하고,체면치레하여,염치 불구하고,3
"상품에 대한 소비가 증가하면, 오히려 그 상품의 수요가 줄어드는 효과는?",스티그마 효과,스놉 효과,베블런 효과,2
퇴근 후 취미나 자기개발을 위해 문화센터에 다니는 직장인을 이르는 말은?,문센족,스라벨,횰로족,1
"광고의 호감도를 높이기 위한 '3B법칙', 3B에 포함되지 않는 것은?",아기(Baby),미인(Beauty),싸움(Battle),3
폭염주의보'는 일 최고기온이 몇 도 이상일 때 발표될까?,33도,35도,37도,1
야구에서 홈플레이트는 오각형이다. 그렇다면 2루 베이스는?,정삼각형,정사각형,정오각형,2
어떤 것으로 번창한 지역을 뜻하는 대명사 '메카'는 어디에 있을까?,사우디아라비아,이스라엘,이란,1
애니메이션 <라이온 킹>의 명대사 '하쿠나마타타'는 무슨 뜻일까?,용기를 가져,잘될 거야,할 수 있어,2
야구 경기 도중 양 팀 선수들이 단체로 싸움에 등참하는 행동의 용어는?,벤치클리어링,더그아웃,그라운드 파이트,1
방탄소년단은 한국 최초로 '빌보드 200 OO차트' 1위에 올랐다! OO은?,싱글,앨범,그룹,2
금융결제원이 운영하는 인터넷 청약 사이트로 올바른 명칭은?,아파트셀링,아파트세일,아파트투유,3
"영국 출신으로 'Let it be', 'Yesterday' 등 무수한 명곡을 남긴 그룹은?",비틀즈,새콤달콤,마이쮸,1
베트남의 수도는?,호치민,다낭,하노이,3
"우리나라 최초로 ""빌보드 핫 100"" 차트에 진입한 가수는?",싸이,원더걸스,방탄소년단,2
미국 '알래스카'의 지명은 인디언 말에서 유래가 되었다. 무슨 뜻일까?,거대한 땅,얼음의 땅,초원의 땅,1
바다의 왕자 장보고가 설치한 '청해진'은 지금은 어느 지역일까?,진도,통영,완도,3
자신이 관련되거나 관심 있는 이야기는 더 잘듣게 되는 현상은?,바넘 효과,칵테일 파티 효과,로젠탈 효과,2
영화에서 엔딩 크레딧 전후에 짧게 추가된 장면을 뜻하는 말은?,쿠키영상,도넛영상,초코영상,1
다음 중 영화 제작사 <마블>의 영화가 아닌 것은?,블랙 펜서,다크나이트 라이즈,닥터 스트레인지,2
다음 중 공포 영화의 장르로 분류되지 않는 것은?,오컬트 영화,슬래셔 영화,누아르 영화,3
가장 오랜 역사를 가진 국제 영화제는?,베니스 국제 영화제,베를린 국제 영화제,칸 국제 영화제,1
원숭이 엉덩이는 빨개~빨가면 사과! 사과는 맛있어! 맛있으면 OOO! 알맞은 가사는?,살 안 쪄,바나나,0 칼로리,2
하늘에서 떨어지는 얼음덩어리를 부르는 말은?,엇박,수박,우박,3
다음 중 각국의 통화가치가 적정 수준인지 살펴보는데 활용되는 햄버거는?,빅맥,싸이버거,와퍼,1
" '가위눌림'과 같은 말로, 뇌는 깨어 있지만 몸은 자고 있는 상태는?",몽유병,자각몽,수면마비,3
다음 중 우리나라 항공사가 아닌 것은?,이스타항공,티웨이항공,에어아시아,3
"녹두를 재료로 하는 음식으로, 여름철에 먹으면 더 좋은 이것은?",곤약,청포묵,우무,2
차나 향료로 쓰이는 식물 'Jasmine'의 올바른 한글 표기법은?,재스민,쟈스민,자스민,1
일반적으로 처음 만난 사람에게 자신의 신상을 알리기 위해 건네는 것은?,손수건,명함,가족관계증명서,2
비행기 탑승 시 허용되는 행동이 아닌것은?,기내 흡연,기내 수면,기내 방귀,1
 '아무 근거 없이 널리 퍼진 소문'을 뜻하는 말이 아닌 것은?,헛소문,뜬소문,연개소문,3
 '틀에 박힌 방식과 일정으로 신선함을 잃는 것'을 뜻하는 말은?,매너리즘,다다이즘,귀차니즘,1
신발이나 의류에 많이 쓰이는 '벨크로'의 다른 이름은?,뽁뽁이,돌돌이,찍찍이,3
 '버그'라는 말은 컴퓨터의 회로에 끼어있던 이것 때문에 생겼다 무엇일까?,바퀴벌레,나방,벌,2
시금치를 먹으면 강해지는 뽀빠이! 여자친구의 이름은?,올리브 오일,올리브 올슨,올리브 바셋,1
사회자를 뜻하는 MC에서 'M'이 뜻하는 것은?,Microphone,Making,Master,3
우리가 흔히 즐겨먹는 홍합! 암컷과 수컷은 어떻게 구별할까?,서식지의 차이,살의 색깔,껍데기의 모양,2
다음 중 같은 조건에서 가장 빨리 어는 것은?,찬물,미지근한 물,뜨거운 물,3
다음 중 아이돌 그룹 멤버의 수가 잘못 짝지어진 것은?,여자친구-6명,방탄소년단-7명,아이콘-8명,3
배우 손예진의 데뷔 작품으로 맞는 것은?,맛있는 청혼,클래식,내 머리속의 지우개,1
"우리나라 연예인 이름으로, 설립된 중국의 학교 명칭으로 올바른 것은?",이영애 초등학교,추자연 중학교,안재욱 고등학교,1
다음 중 솜사탕의 재료는?,솜,설탕,실,2
지나치게 잠을 많이자고 낮에도 심하게 졸림을 느끼는 증상은?,게으름뱅이,지방간,과면증,3
"혼인관계는 유지하지만, 서로 간섭하지 않고 독립적으로 살아가는 개념은?",쇼윈도 부부,졸혼,만혼,2
인질이 인질범에게 동화 혹은 동조하는 비합리적인 현상은?,피그말리온 효과,리플리 증후군,스톡홀름 증후군,3
남극에는 세종과학기지! 북극의 국내 최초 과학기지는?,다산과학기지,도산과학기지,태극과학기지,1
 '너무 웃어서 얼굴이 OOO' 빈칸에 들어갈 알맞은 말은?,당긴다,땅긴다,땡긴다,2
한국 만화 최초로 주민등록번호를 받은 캐릭터는?,둘리,하니,태권V,1
